eventtype,tick,timestamp,taskid,object,value,src
EVT_QUEUE_SEND,2706,2706000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,2706,2706000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,2706,2706000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,2706,2706000,Cycle,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,2706,2706000,Cycle,0x0,3006,TASK
traceTASK_SWITCHED_OUT,2706,2706000,Cycle,0x0,0,TASK
traceTASK_SWITCHED_IN,2706,2706000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_OUT,2800,2800000,IDLE,0x0,0,TASK
traceTASK_SWITCHED_IN,2800,2800000,Bus,0x0,0,TASK
EVT_QUEUE_SEND,2800,2800000,Bus,0x3ffd14e0,0,TASK
traceTASK_SWITCHED_OUT,2800,2800000,Bus,0x0,0,TASK
traceTASK_SWITCHED_IN,2800,2800000,printer,0x0,0,TASK
EVT_QUEUE_RECEIVE,2800,2800000,printer,0x3ffd14e0,0,TASK
EVT_QUEUE_SEND,2800,2800000,printer,0x3ffb6a9c,0,TASK
EVT_QUEUE_SEND,2800,2800000,printer,0x3ffb7f8c,0,TASK
EVT_QUEUE_SEND,2800,2800000,printer,0x3ffb68cc,0,TASK
traceTASK_SWITCHED_OUT,2800,2800000,printer,0x0,0,TASK
traceTASK_SWITCHED_IN,2800,2800000,Bus,0x0,0,TASK
EVT_TASK_DELAY_UNTIL,2800,2800000,Bus,0x0,3000,TASK
